Neighborhood,life_expectancy,population,unemployed_avg,accidents_count,stops_count,Latitude,Longitude,no2_avg,rail_count,acc_rate,stops_rate,unemp_rate,rail_rate
Baró de Viver,80.15,2539,781.5,31,8,41.446044125,2.199503125,41.1611030478955,,12.209531311539976,3.1508467900748327,30.77983458054352,
Can Baró,83.85,8994,2367.4166666666665,15,22,41.41594290909091,2.162710590909091,30.81293952180028,,1.667778519012675,2.4460751612185905,26.32217774812838,
Can Peguera,80.05,2271,725.6666666666666,8,4,41.43508825,2.1669495,30.81293952180028,,3.522677234698371,1.7613386173491854,31.953618083076467,
Canyelles,83.1,6856,2871.8333333333335,34,24,41.44308470833334,2.166059125,30.81293952180028,3.0,4.959159859976663,3.500583430571762,41.887884091793076,0.43757292882147025
Ciutat Meridiana,83.75,10342,5826.333333333333,11,46,41.46112915217391,2.1757958260869565,30.81293952180028,1.0,1.0636240572423128,4.447882421195127,56.336620898601176,0.09669309611293753
Diagonal Mar i el Front Marítim del Poblenou,85.15,13629,4172.333333333333,146,39,41.407392615384616,2.21241741025641,41.1611030478955,3.0,10.712451390417492,2.86154523442659,30.613642478049258,0.2201188641866608
Horta,83.35,26715,9038.583333333334,148,71,41.43412384507042,2.157930633802817,30.81293952180028,6.0,5.539958824630357,2.6576829496537524,33.83336452679519,0.22459292532285233
Hostafrancs,83.6,15904,4505.833333333333,125,28,41.375096642857145,2.1456730357142857,56.24068322981366,7.0,7.859657947686117,1.7605633802816902,28.331447015425887,0.44014084507042256
Montbau,80.7,5102,1411.5,51,18,41.42983705555556,2.1432979999999997,30.81293952180028,5.0,9.99607996863975,3.5280282242257934,27.6656213249706,0.9800078400627206
Navas,85.94999999999999,22129,6252.25,64,16,41.417800625,2.1854039375,41.1611030478955,4.0,2.892132495819965,0.7230331239549912,28.25364905779746,0.1807582809887478
Pedralbes,86.0,12076,1351.5833333333333,204,75,41.388861786666666,2.113041466666667,27.97432239657632,5.0,16.89301093077178,6.210665783371978,11.192309815612234,0.41404438555813183
Porta,84.35,25000,8194.666666666666,98,26,41.43448292307692,2.1783517692307695,30.81293952180028,1.0,3.92,1.0399999999999998,32.77866666666666,0.04
Provençals del Poblenou,84.95,20487,6377.083333333333,181,39,41.410582230769236,2.201758282051282,41.1611030478955,,8.834870893737492,1.903646214672719,31.12746294398073,
Sant Andreu,84.5,57183,17968.25,197,74,41.437289459459464,2.189879027027027,41.1611030478955,15.0,3.4450798314184286,1.294090901141948,31.422363289788922,0.26231572320444885
Sant Antoni,83.69999999999999,38345,10151.583333333334,233,56,41.37863085714286,2.159134517857143,56.24068322981366,19.0,6.076411526926588,1.4604250880166905,26.474333898378756,0.49550136914852
Sant Genís dels Agudells,83.5,6854,1950.4166666666667,52,35,41.42678434285715,2.134974257142857,30.81293952180028,1.0,7.58681062153487,5.1065071491100085,28.456619005933277,0.14590020426028597
Sant Gervasi - Galvany,84.4,47666,6900.5,385,74,41.39790937837838,2.1432813513513516,44.57453416149068,20.0,8.077036042462131,1.5524692653044099,14.476775898963623,0.41958628792011077
Sant Gervasi - la Bonanova,84.65,25774,3636.75,209,83,41.40887442168675,2.1325362771084335,30.81293952180028,2.0,8.108947000853574,3.220299526654768,14.110149763327385,0.07759757895553658
Sant Martí de Provençals,83.7,26146,8862.083333333334,80,23,41.41596960869565,2.1982831739130435,41.1611030478955,6.0,3.059741451847319,0.8796756674061041,33.894604655906576,0.2294806088885489
"Sant Pere, Santa Caterina i la Ribera",81.8,22721,8347.0,134,38,41.38667931578947,2.1812459210526316,39.85592011412268,5.0,5.897627745257691,1.672461599401435,36.7369393952731,0.22006073676334667
Sants,83.85,41127,10964.166666666666,177,48,41.378512541666666,2.1372624791666666,36.359165424739196,19.0,4.303742067255088,1.1671164928149391,26.659291138830127,0.46198361173924674
Sants - Badal,84.85,23987,5880.25,71,19,41.37595510526316,2.1270975263157896,36.359165424739196,4.0,2.9599366323425187,0.7920957185141952,24.514320256805767,0.1667569933714095
Sarrià,84.30000000000001,25032,2894.5833333333335,189,80,41.399896812499996,2.118872075,27.97432239657632,9.0,7.550335570469799,3.195909236177693,11.563532012357516,0.3595397890699904
Torre Baró,78.05,2856,1116.5833333333333,7,42,41.456698595238095,2.1791428095238095,30.81293952180028,3.0,2.450980392156863,14.705882352941176,39.096055088702144,1.050420168067227
Vallbona,77.2,1372,676.3333333333334,8,20,41.4645571,2.18293705,30.81293952180028,,5.830903790087463,14.577259475218659,49.29543245869777,
